,0,1,2,3
296,1.0,2.153,218.0,12.03
297,3.0,0.304,58.0,0.68
298,2.0,0.777,73.0,3.18
299,1.0,1.567,208.0,3.51
300,0.0,0.11,2.0,0.45
301,2.0,0.379,27.0,4.42
302,0.0,0.153,10.0,0.0
303,1.0,1.086,66.0,6.18
304,0.0,0.314,86.0,3.4
305,1.0,1.314,87.0,5.9
306,1.0,0.976,84.0,2.77
307,1.0,2.628,182.0,4.71
308,1.0,9.008,537.0,16.48
309,2.0,0.373,48.0,2.58
310,1.0,0.534,68.0,4.35
311,1.0,1.124,106.0,4.82
312,1.0,1.124,106.0,4.82
313,2.0,0.461,64.0,3.52
314,1.0,0.734,114.0,2.89
315,1.0,0.679,101.0,3.47
316,1.0,0.98,87.0,6.69
317,0.0,0.105,9.0,0.14
318,1.0,0.443,70.0,2.97
319,0.0,0.387,31.0,0.0
320,1.0,2.823,252.0,11.83
321,1.0,1.567,208.0,3.51
322,1.0,0.734,114.0,2.89
323,1.0,9.008,537.0,16.48
324,0.0,0.186,1.0,3.0
325,0.0,0.161,19.0,0.0
326,0.0,0.546,163.0,4.65
327,1.0,1.614,150.0,4.69
328,1.0,1.314,87.0,5.9
329,1.0,0.634,76.0,3.75
330,0.0,0.286,15.0,0.0
331,0.0,0.126,6.0,0.24
332,1.0,1.057,103.0,7.05
333,0.0,0.134,6.0,0.66
334,0.0,0.512,25.0,0.0
335,2.0,0.358,21.0,1.18
336,1.0,1.406,62.0,3.24
337,1.0,3.367,197.0,6.38
338,0.0,0.185,7.0,0.0
339,2.0,0.576,48.0,1.79
340,2.0,0.564,39.0,3.01
341,1.0,1.614,150.0,4.69
342,1.0,0.84,27.0,2.29
343,1.0,1.614,150.0,4.69
344,0.0,0.178,6.0,2.0
345,0.0,0.1,3.0,0.0
346,0.0,0.188,11.0,1.89
347,0.0,0.264,39.0,1.23
348,1.0,2.01,223.0,10.76
349,0.0,0.361,90.0,1.74
350,0.0,0.361,90.0,1.74
351,0.0,0.277,116.0,1.26
352,0.0,0.476,36.0,2.94
353,0.0,0.546,163.0,4.65
354,2.0,0.293,18.0,0.77
355,1.0,0.793,28.0,1.67
356,4.0,0.106,9.0,0.02
357,1.0,9.027,248.0,11.71
358,0.0,0.317,9.0,0.0
359,1.0,3.599,390.0,7.14
360,1.0,1.567,208.0,3.51
361,1.0,0.798,135.0,5.93
362,3.0,0.727,0.0,0.0
363,0.0,0.118,3.0,0.6
364,1.0,1.005,144.0,8.0
365,1.0,1.005,144.0,8.0
366,1.0,1.005,144.0,8.0
367,1.0,0.975,104.0,6.33
368,1.0,1.005,144.0,8.0
369,4.0,0.179,48.0,1.65
370,3.0,0.316,67.0,2.52
371,3.0,0.238,66.0,1.19
372,0.0,0.176,10.0,0.0
373,1.0,1.614,150.0,4.69
374,1.0,1.614,150.0,4.69
375,1.0,1.614,150.0,4.69
376,0.0,0.132,3.0,0.56
377,0.0,0.125,0.0,0.0
378,1.0,1.365,178.0,7.8
379,1.0,0.587,127.0,4.48
380,3.0,0.416,60.0,2.77
381,1.0,3.204,113.0,9.48
382,1.0,3.204,113.0,9.48
383,2.0,0.502,83.0,3.87
384,1.0,0.806,24.0,2.01
385,1.0,0.734,114.0,2.89
386,1.0,0.806,124.0,4.41
387,0.0,0.27,8.0,1.79
388,1.0,1.276,140.0,6.79
389,1.0,1.207,70.0,4.91
390,3.0,0.304,58.0,0.68
391,1.0,1.057,103.0,7.05
392,3.0,0.304,58.0,0.68
393,0.0,0.392,6.0,2.31
394,2.0,0.365,38.0,2.64
395,2.0,1.413,81.0,4.27
396,2.0,1.301,98.0,2.1
397,2.0,1.413,81.0,4.27
398,1.0,1.124,106.0,4.82
399,0.0,0.157,5.0,1.19
400,0.0,0.157,5.0,1.19
401,0.0,0.326,29.0,1.76
402,1.0,0.903,145.0,3.11
403,2.0,0.495,11.0,3.64
404,2.0,0.578,120.0,3.71
405,2.0,0.578,120.0,3.71
406,1.0,1.614,150.0,4.69
407,3.0,0.45,19.0,2.58
408,1.0,0.815,138.0,4.68
409,0.0,0.368,13.0,2.2
410,2.0,0.394,46.0,2.04
411,0.0,0.249,7.0,1.12
412,0.0,0.277,116.0,1.26
413,3.0,0.336,33.0,1.5
414,1.0,2.565,64.0,6.1
415,1.0,1.614,150.0,4.69
416,1.0,1.057,103.0,7.05
417,1.0,1.614,150.0,4.69
418,1.0,1.614,150.0,4.69
419,3.0,0.304,58.0,0.68
420,4.0,0.21,58.0,0.77
421,2.0,0.522,25.0,3.71
422,2.0,0.329,12.0,1.09
