,0,1,2,3
387,1.0,4.01,110.0,17.23
388,1.0,4.005,125.0,7.14
389,1.0,4.004,183.0,3.79
390,1.0,3.984,26.0,6.98
391,0.0,3.972,4.0,37.33
392,1.0,3.962,65.0,5.88
393,1.0,3.953,69.0,6.2
394,1.0,3.952,106.0,5.91
395,1.0,3.952,77.0,4.89
396,1.0,3.941,96.0,5.72
397,1.0,3.938,177.0,7.01
398,1.0,3.935,200.0,6.14
399,1.0,3.934,146.0,8.53
400,1.0,3.918,164.0,4.3
401,1.0,3.911,231.0,10.98
402,1.0,3.91,28.0,11.44
403,1.0,3.908,148.0,11.39
404,1.0,3.903,30.0,2.85
405,1.0,3.896,108.0,3.88
406,1.0,3.894,97.0,5.34
407,1.0,3.893,192.0,11.82
408,1.0,3.886,109.0,3.43
409,1.0,3.878,218.0,9.93
410,1.0,3.871,174.0,8.33
411,1.0,3.866,174.0,7.89
412,1.0,3.863,193.0,6.51
413,1.0,3.861,36.0,7.44
414,1.0,3.853,105.0,6.78
415,1.0,3.852,102.0,9.31
416,1.0,3.839,390.0,3.24
417,1.0,3.837,178.0,3.62
418,1.0,3.826,142.0,2.97
419,1.0,3.826,21.0,13.02
420,1.0,3.825,111.0,6.71
421,1.0,3.823,190.0,6.8
422,1.0,3.822,316.0,5.99
423,1.0,3.818,67.0,3.65
424,1.0,3.811,372.0,25.54
425,1.0,3.809,193.0,5.83
426,1.0,3.798,35.0,6.89
427,1.0,3.797,140.0,3.78
428,1.0,3.789,178.0,7.74
429,1.0,3.785,236.0,12.02
430,1.0,3.778,116.0,13.77
431,1.0,3.769,159.0,3.38
432,1.0,3.765,125.0,9.35
433,1.0,3.761,136.0,3.35
434,1.0,3.76,109.0,17.53
435,1.0,3.757,176.0,3.74
436,1.0,3.755,181.0,4.34
437,1.0,3.754,325.0,5.27
438,1.0,3.752,131.0,5.43
439,1.0,3.75,92.0,7.78
440,1.0,3.742,244.0,7.96
441,1.0,3.742,65.0,1.75
442,1.0,3.741,375.0,8.97
443,1.0,3.725,102.0,5.15
444,1.0,3.725,122.0,7.37
445,1.0,3.719,206.0,6.51
446,1.0,3.707,109.0,8.35
447,1.0,3.689,101.0,1.92
448,1.0,3.688,673.0,14.33
449,1.0,3.687,172.0,9.45
450,1.0,3.687,108.0,1.92
451,1.0,3.686,27.0,7.95
452,1.0,3.675,176.0,7.24
453,1.0,3.667,25.0,4.3
454,1.0,3.666,238.0,8.29
455,1.0,3.662,12.0,8.48
456,1.0,3.659,33.0,8.55
457,1.0,3.659,154.0,5.44
458,1.0,3.658,197.0,4.0
459,1.0,3.656,58.0,3.38
460,1.0,3.652,211.0,6.47
461,1.0,3.651,96.0,7.68
462,1.0,3.649,191.0,5.94
463,1.0,3.641,260.0,5.32
464,1.0,3.639,201.0,14.12
465,1.0,3.638,171.0,6.13
466,1.0,3.637,212.0,12.14
467,1.0,3.636,78.0,3.31
468,1.0,3.634,145.0,13.8
469,1.0,3.627,117.0,12.27
470,1.0,3.611,281.0,10.69
471,1.0,3.607,51.0,6.03
472,1.0,3.607,112.0,8.71
473,1.0,3.599,390.0,7.14
474,1.0,3.596,101.0,6.33
475,1.0,3.59,240.0,7.9
476,1.0,3.588,111.0,8.01
477,1.0,3.588,142.0,3.88
478,1.0,3.587,233.0,5.33
479,1.0,3.571,171.0,11.57
480,1.0,3.57,78.0,3.8
481,1.0,3.562,121.0,6.87
482,1.0,3.554,312.0,6.79
483,1.0,3.549,135.0,4.74
484,1.0,3.549,64.0,4.13
485,1.0,3.546,277.0,15.1
486,1.0,3.535,29.0,4.8
487,1.0,3.534,101.0,19.21
488,1.0,3.531,98.0,4.41
489,1.0,3.525,115.0,8.66
490,1.0,3.523,120.0,10.08
491,1.0,3.522,121.0,4.83
492,1.0,3.522,295.0,16.3
493,1.0,3.52,168.0,7.71
494,1.0,3.509,128.0,5.37
495,1.0,3.507,159.0,6.09
496,1.0,3.505,65.0,3.81
497,1.0,3.501,109.0,8.55
498,1.0,3.499,276.0,4.85
499,1.0,3.498,46.0,8.11
500,1.0,3.497,225.0,4.81
501,1.0,3.493,82.0,5.13
502,1.0,3.492,134.0,12.3
503,1.0,3.489,121.0,3.29
504,1.0,3.488,41.0,13.2
505,1.0,3.486,83.0,3.96
506,1.0,3.483,455.0,5.54
507,1.0,3.475,313.0,13.23
508,1.0,3.473,52.0,14.77
509,1.0,3.467,139.0,6.65
510,1.0,3.464,227.0,8.05
511,1.0,3.463,138.0,7.86
512,1.0,3.463,180.0,17.13
513,1.0,3.461,201.0,11.45
514,1.0,3.456,151.0,7.28
515,1.0,3.456,57.0,5.13
516,0.0,3.447,102.0,5.88
517,1.0,3.44,336.0,4.81
518,1.0,3.436,294.0,7.41
519,1.0,3.435,137.0,9.75
520,1.0,3.434,46.0,5.78
521,1.0,3.425,105.0,7.47
522,1.0,3.418,156.0,8.24
523,1.0,3.417,38.0,5.03
524,1.0,3.412,29.0,5.79
525,1.0,3.407,189.0,5.11
526,1.0,3.406,208.0,5.25
527,1.0,3.405,84.0,5.18
528,1.0,3.403,132.0,10.31
529,1.0,3.397,47.0,12.32
530,1.0,3.397,319.0,4.99
531,1.0,3.396,93.0,5.35
532,1.0,3.395,342.0,8.64
533,1.0,3.391,206.0,5.58
534,1.0,3.376,130.0,6.69
535,1.0,3.376,35.0,5.16
536,1.0,3.375,76.0,2.55
537,1.0,3.371,57.0,2.82
538,1.0,3.367,197.0,6.38
539,1.0,3.364,96.0,4.22
540,1.0,3.364,182.0,6.52
541,1.0,3.363,173.0,7.42
542,1.0,3.354,214.0,6.51
543,1.0,3.353,175.0,6.11
544,1.0,3.352,104.0,5.12
545,1.0,3.352,198.0,5.35
546,1.0,3.351,89.0,4.02
547,1.0,3.351,66.0,7.33
548,1.0,3.348,218.0,12.78
549,1.0,3.344,92.0,5.13
550,1.0,3.328,199.0,11.06
551,1.0,3.322,297.0,8.47
552,1.0,3.315,287.0,4.9
553,1.0,3.312,263.0,9.12
554,1.0,3.308,177.0,3.56
555,1.0,3.307,122.0,4.09
556,1.0,3.298,61.0,7.79
557,1.0,3.294,72.0,8.99
558,1.0,3.289,41.0,11.59
559,1.0,3.281,292.0,6.22
560,1.0,3.279,110.0,4.93
561,1.0,3.278,39.0,5.71
562,1.0,3.277,66.0,9.18
563,1.0,3.277,80.0,5.57
564,1.0,3.276,58.0,4.06
565,1.0,3.271,31.0,8.23
566,1.0,3.267,95.0,4.9
567,1.0,3.259,364.0,6.82
568,1.0,3.253,106.0,5.77
569,1.0,3.238,86.0,6.3
570,1.0,3.219,330.0,6.07
571,1.0,3.216,162.0,14.5
572,1.0,3.216,243.0,3.17
573,1.0,3.209,381.0,11.59
574,1.0,3.209,115.0,4.53
575,1.0,3.207,80.0,8.54
576,1.0,3.207,76.0,6.64
577,1.0,3.204,113.0,9.48
578,1.0,3.202,141.0,4.12
579,1.0,3.198,90.0,4.14
580,1.0,3.192,219.0,11.86
581,1.0,3.189,269.0,5.13
